o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority
1224,254,P,22452.74,1993-10-24,1-URGENT
1225,154,P,9572.5,1995-11-10,3-MEDIUM
1226,3,O,47243.1,1998-01-25,5-LOW
1227,276,O,50316.47,1997-02-16,1-URGENT
1228,392,O,22769.4,1993-04-23,5-LOW
1229,383,O,55319.06,1998-08-09,5-LOW
1230,790,O,18976.19,1993-08-05,5-LOW
1231,887,P,21427.66,1997-05-21,1-URGENT
1232,898,F,12582.92,1993-10-20,2-HIGH
1233,111,F,27227.04,1997-04-01,3-MEDIUM
1234,651,O,23239.25,1994-09-19,3-MEDIUM
1235,834,P,99792.71,1995-06-26,1-URGENT
1236,149,P,49864.54,1993-08-09,2-HIGH
1237,439,P,84865.83,1992-12-01,1-URGENT
1238,857,P,83813.84,1993-02-03,4-NOT SPECIFIED
1239,720,O,20530.53,1994-02-11,5-LOW
1240,304,F,13161.27,1998-10-26,4-NOT SPECIFIED
1241,203,F,33643.21,1997-10-04,3-MEDIUM
1242,296,F,53711.01,1995-03-15,3-MEDIUM
1243,401,O,62474.95,1997-06-16,4-NOT SPECIFIED
1244,707,P,29742.04,1992-08-24,1-URGENT
1245,984,P,95309.66,1996-06-05,3-MEDIUM
1246,778,P,33891.26,1992-11-16,1-URGENT
1247,149,F,81399.94,1997-02-16,1-URGENT
1248,322,F,74898.2,1993-01-16,3-MEDIUM
1249,603,P,40316.6,1998-08-03,4-NOT SPECIFIED
1250,5,P,60717.36,1997-03-07,1-URGENT
1251,616,P,11868.57,1998-05-14,4-NOT SPECIFIED
1252,283,F,85802.88,1997-07-20,4-NOT SPECIFIED
1253,317,F,5032.66,1993-04-18,4-NOT SPECIFIED
1254,589,P,24709.63,1996-11-21,4-NOT SPECIFIED
1255,341,P,19125.33,1992-04-08,5-LOW
1256,589,O,59886.11,1993-03-18,1-URGENT
1257,424,O,48740.53,1998-12-17,4-NOT SPECIFIED
1258,959,F,7556.27,1994-06-21,4-NOT SPECIFIED
1259,801,O,14254.87,1996-02-02,4-NOT SPECIFIED
1260,278,P,70653.16,1992-06-14,5-LOW
1261,950,F,37735.19,1998-05-22,3-MEDIUM
1262,41,P,91892.46,1994-04-28,5-LOW
1263,740,O,92513.97,1995-05-11,4-NOT SPECIFIED
1264,639,F,77586.37,1993-02-15,4-NOT SPECIFIED
1265,53,P,2146.92,1994-10-13,2-HIGH
1266,475,F,27290.28,1993-05-27,3-MEDIUM
1267,594,P,35051.35,1996-10-08,2-HIGH
1268,70,P,63469.63,1993-11-14,3-MEDIUM
1269,168,O,29207.57,1997-11-04,1-URGENT
1270,198,F,14614.23,1998-12-09,5-LOW
1271,330,P,12867.71,1994-04-27,2-HIGH
1272,304,P,72581.52,1994-07-04,1-URGENT
1273,664,P,62625.39,1998-01-01,3-MEDIUM
1274,185,F,46327.73,1994-03-03,3-MEDIUM
1275,70,F,67931.04,1997-09-18,1-URGENT
1276,842,F,88682.73,1996-08-19,4-NOT SPECIFIED
1277,181,F,35417.61,1995-02-22,2-HIGH
1278,281,O,22938.93,1996-11-19,1-URGENT
1279,583,P,63559.69,1996-10-21,3-MEDIUM
1280,49,F,35488.13,1997-11-15,2-HIGH
1281,99,P,91844.05,1992-08-13,2-HIGH
1282,88,O,98489.41,1992-03-14,5-LOW
1283,409,O,64991.9,1992-09-01,5-LOW
1284,179,F,29600.66,1994-11-06,2-HIGH
1285,761,O,5726.92,1998-05-21,4-NOT SPECIFIED
1286,453,F,29423.73,1993-03-13,5-LOW
1287,237,F,17663.6,1995-03-07,2-HIGH
1288,660,F,24536.52,1995-09-20,5-LOW
1289,990,P,24043.74,1998-11-23,5-LOW
1290,601,F,30187.23,1992-05-26,3-MEDIUM
1291,304,O,73223.77,1998-02-14,1-URGENT
1292,694,O,65629.01,1996-04-26,1-URGENT
1293,56,P,34886.21,1994-11-01,3-MEDIUM
1294,291,F,47131.03,1993-09-25,2-HIGH
1295,993,O,91013.86,1995-04-25,4-NOT SPECIFIED
1296,70,F,86271.53,1993-03-16,3-MEDIUM
1297,469,P,69218.37,1993-08-10,2-HIGH
1298,644,F,62117.93,1998-10-17,5-LOW
1299,994,O,36206.73,1996-11-07,1-URGENT
1300,591,F,19728.95,1993-11-23,3-MEDIUM
1301,549,P,59346.83,1995-12-02,4-NOT SPECIFIED
1302,804,P,20105.08,1997-03-03,2-HIGH
1303,450,P,67933.3,1996-07-14,2-HIGH
1304,824,F,58955.21,1993-04-07,2-HIGH
1305,366,F,90997.64,1995-03-24,4-NOT SPECIFIED
1306,213,F,45114.82,1997-03-27,2-HIGH
1307,473,F,70482.06,1992-10-26,2-HIGH
1308,474,F,71813.23,1995-10-10,3-MEDIUM
1309,182,P,84628.9,1995-02-18,3-MEDIUM
1310,901,O,63136.03,1995-04-13,1-URGENT
1311,505,F,73511.52,1995-05-06,3-MEDIUM
1312,531,O,50538.0,1993-11-20,5-LOW
1313,636,P,12568.51,1994-07-03,4-NOT SPECIFIED
1314,111,F,95842.25,1997-05-14,2-HIGH
1315,726,F,27701.95,1992-07-24,4-NOT SPECIFIED
1316,47,O,35192.25,1993-05-21,5-LOW
1317,470,O,38109.37,1995-09-19,4-NOT SPECIFIED
1318,852,P,79644.94,1998-12-22,4-NOT SPECIFIED
1319,481,P,42154.5,1995-02-27,3-MEDIUM
1320,46,O,32540.68,1996-07-17,4-NOT SPECIFIED
1321,866,P,29073.65,1994-09-07,1-URGENT
1322,755,P,54582.35,1995-12-07,2-HIGH
1323,774,F,90059.39,1992-04-08,4-NOT SPECIFIED
1324,48,F,60120.37,1998-03-14,1-URGENT
1325,466,P,10043.16,1993-04-17,5-LOW
1326,540,F,93769.71,1993-10-24,2-HIGH
1327,955,O,73058.45,1997-12-02,2-HIGH
1328,159,O,14960.06,1994-01-26,1-URGENT
1329,832,F,6686.96,1993-12-26,3-MEDIUM
1330,884,P,43627.48,1995-07-25,2-HIGH
1331,562,F,40080.5,1995-05-22,1-URGENT
1332,877,P,35199.93,1993-02-05,2-HIGH
1333,643,O,84979.91,1993-04-08,5-LOW
1334,746,P,61646.64,1996-06-28,2-HIGH
1335,381,P,50499.04,1997-07-07,1-URGENT
1336,710,O,37071.72,1995-08-04,2-HIGH
1337,105,O,54065.72,1995-04-01,3-MEDIUM
1338,487,P,52193.86,1995-07-01,5-LOW
1339,278,F,79721.38,1995-12-21,1-URGENT
1340,55,P,26282.58,1994-05-08,3-MEDIUM
1341,537,F,81751.33,1996-12-09,2-HIGH
1342,181,O,79045.16,1998-07-01,3-MEDIUM
1343,212,P,22529.7,1996-02-17,5-LOW
1344,145,O,33196.59,1997-02-24,1-URGENT
1345,195,F,82462.13,1993-05-17,3-MEDIUM
1346,870,O,70136.56,1995-04-02,5-LOW
1347,159,P,3920.75,1998-06-24,5-LOW
1348,516,F,47828.82,1994-06-28,5-LOW
1349,114,O,52452.08,1992-11-22,3-MEDIUM
1350,32,O,63155.82,1996-05-24,1-URGENT
1351,407,O,21032.3,1992-06-17,3-MEDIUM
1352,423,O,10317.06,1995-05-15,2-HIGH
1353,631,O,32447.69,1992-02-21,1-URGENT
1354,381,O,8433.5,1996-11-26,1-URGENT
1355,750,F,28377.9,1995-05-27,2-HIGH
1356,762,F,95669.86,1997-11-13,4-NOT SPECIFIED
1357,539,P,60733.24,1997-12-07,4-NOT SPECIFIED
1358,494,P,89618.89,1996-06-20,3-MEDIUM
1359,852,P,4633.24,1997-04-06,1-URGENT
1360,434,O,59194.16,1995-04-11,1-URGENT
1361,600,P,96492.88,1997-09-24,2-HIGH
1362,192,O,79362.23,1998-12-09,4-NOT SPECIFIED
1363,2,O,84080.83,1992-12-13,4-NOT SPECIFIED
1364,918,F,35943.48,1995-10-18,2-HIGH
1365,408,O,14757.17,1995-02-18,5-LOW
1366,706,F,43879.69,1995-09-09,4-NOT SPECIFIED
1367,635,O,32020.97,1998-02-22,4-NOT SPECIFIED
1368,322,P,99696.38,1995-04-27,1-URGENT
1369,719,P,40913.73,1998-12-16,2-HIGH
1370,47,F,40019.84,1992-12-19,5-LOW
1371,29,O,36585.24,1994-12-14,1-URGENT
1372,507,O,13242.77,1996-02-01,3-MEDIUM
1373,485,P,89685.25,1994-10-21,2-HIGH
1374,670,P,22647.51,1998-12-26,4-NOT SPECIFIED
1375,632,P,3100.1,1996-05-24,5-LOW
1376,239,P,48314.33,1993-12-16,3-MEDIUM
1377,506,F,80095.72,1992-02-25,4-NOT SPECIFIED
1378,912,O,94732.67,1992-05-19,5-LOW
1379,895,P,14807.89,1998-02-02,2-HIGH
1380,56,O,39686.31,1996-01-15,1-URGENT
1381,278,F,56570.19,1993-11-22,1-URGENT
1382,619,P,76347.26,1998-06-03,5-LOW
1383,81,P,87993.29,1995-05-11,4-NOT SPECIFIED
1384,751,O,15793.15,1998-12-02,1-URGENT
1385,417,F,30852.71,1998-02-01,5-LOW
1386,987,F,13782.16,1992-04-21,2-HIGH
1387,965,O,68464.42,1996-02-17,1-URGENT
1388,909,P,38854.98,1998-02-04,4-NOT SPECIFIED
1389,723,O,78838.81,1998-03-02,1-URGENT
1390,452,P,95532.81,1992-02-18,3-MEDIUM
1391,92,P,97957.09,1992-01-24,4-NOT SPECIFIED
1392,234,O,87232.93,1993-04-17,5-LOW
1393,31,O,8005.6,1998-07-03,3-MEDIUM
1394,980,O,13755.69,1993-02-12,5-LOW
1395,869,P,51621.04,1997-04-08,2-HIGH
1396,380,F,91469.46,1995-09-26,4-NOT SPECIFIED
1397,235,O,97073.82,1993-11-03,1-URGENT
1398,393,O,42196.18,1994-02-13,2-HIGH
1399,180,O,65808.36,1995-04-12,3-MEDIUM
1400,436,P,55325.67,1993-11-21,4-NOT SPECIFIED
1401,36,F,76509.46,1993-03-27,2-HIGH
1402,795,P,68694.89,1996-06-17,4-NOT SPECIFIED
1403,43,F,86840.31,1994-09-07,4-NOT SPECIFIED
1404,957,P,42873.71,1995-06-06,2-HIGH
1405,346,P,19196.06,1993-07-25,2-HIGH
1406,915,P,22648.57,1993-12-16,1-URGENT
1407,848,P,51936.99,1998-05-27,1-URGENT
1408,815,P,21327.27,1994-11-21,3-MEDIUM
1409,111,F,39193.55,1997-07-14,3-MEDIUM
1410,246,O,43498.03,1995-07-22,4-NOT SPECIFIED
1411,225,F,19484.21,1993-12-13,2-HIGH
1412,896,O,53076.74,1994-06-06,5-LOW
1413,233,F,9121.88,1996-06-27,4-NOT SPECIFIED
1414,803,P,34460.39,1998-02-25,1-URGENT
1415,405,P,49524.33,1992-09-01,2-HIGH
1416,536,P,54101.64,1998-02-24,1-URGENT
1417,723,O,41285.87,1993-03-21,3-MEDIUM
1418,303,P,30257.3,1997-08-26,5-LOW
1419,514,F,56539.55,1996-11-17,3-MEDIUM
1420,310,F,72151.44,1994-06-12,2-HIGH
1421,463,P,94753.49,1997-04-03,2-HIGH
1422,825,O,56921.94,1994-12-02,5-LOW
1423,504,F,57731.34,1998-09-08,2-HIGH
1424,218,F,23892.6,1993-07-20,2-HIGH
1425,380,F,2795.29,1992-03-12,3-MEDIUM
1426,559,F,63387.53,1998-05-22,3-MEDIUM
1427,793,P,40048.97,1995-10-07,2-HIGH
1428,122,O,70904.42,1997-08-11,3-MEDIUM
1429,856,P,95051.43,1997-08-14,5-LOW
1430,166,F,39242.62,1997-04-11,4-NOT SPECIFIED
1431,585,P,71868.09,1992-03-16,2-HIGH
1432,945,O,53606.43,1994-08-15,5-LOW
1433,529,P,70201.26,1993-01-06,5-LOW
1434,95,F,40466.14,1994-10-22,1-URGENT
1435,103,F,67954.91,1994-06-08,3-MEDIUM
1436,931,P,80932.59,1992-01-11,1-URGENT
1437,92,P,31552.25,1997-11-19,5-LOW
1438,671,P,59766.1,1993-03-09,5-LOW
1439,114,O,6686.55,1993-05-01,5-LOW
1440,556,O,99899.28,1993-05-01,1-URGENT
1441,504,P,7659.8,1998-08-09,1-URGENT
1442,232,P,13799.89,1995-03-15,4-NOT SPECIFIED
1443,571,O,23526.93,1992-11-22,1-URGENT
1444,168,P,58170.78,1998-06-26,2-HIGH
1445,321,F,36992.93,1993-02-06,3-MEDIUM
1446,158,O,65969.46,1992-08-05,3-MEDIUM
1447,405,O,44947.4,1992-06-15,1-URGENT
1448,64,F,83761.48,1996-08-26,4-NOT SPECIFIED
1449,249,O,31276.07,1994-03-27,2-HIGH
1450,158,P,13686.41,1994-03-14,1-URGENT
1451,932,F,17823.27,1992-07-01,2-HIGH
1452,611,F,67556.98,1995-11-13,1-URGENT
1453,879,O,49444.67,1993-08-03,5-LOW
1454,664,F,65396.68,1995-06-08,2-HIGH
1455,652,F,39336.88,1995-09-22,2-HIGH
1456,966,F,32429.49,1997-03-03,4-NOT SPECIFIED
1457,930,O,66214.13,1992-09-21,5-LOW
1458,217,F,3223.96,1994-11-17,1-URGENT
1459,581,P,99425.8,1995-11-08,4-NOT SPECIFIED
1460,263,F,9898.21,1996-03-01,2-HIGH
1461,159,F,56376.26,1997-03-18,4-NOT SPECIFIED
1462,983,F,8649.7,1994-09-21,5-LOW
1463,652,P,30601.07,1998-04-16,4-NOT SPECIFIED
1464,297,P,48550.69,1992-12-03,4-NOT SPECIFIED
1465,399,P,8954.5,1993-08-22,3-MEDIUM
1466,614,O,94394.77,1993-02-15,1-URGENT
1467,111,F,69659.33,1992-11-16,3-MEDIUM
1468,181,O,60748.3,1996-01-27,2-HIGH
1469,595,F,88330.37,1993-02-02,4-NOT SPECIFIED
1470,657,P,84157.18,1996-09-12,1-URGENT
1471,446,O,24629.88,1992-04-02,2-HIGH
1472,755,O,83346.51,1995-09-19,1-URGENT
1473,385,F,70669.32,1993-12-12,5-LOW
1474,115,F,18719.3,1997-04-05,4-NOT SPECIFIED
1475,791,P,52333.03,1992-05-27,1-URGENT
1476,83,O,31698.17,1993-06-21,2-HIGH
1477,861,F,69674.39,1998-01-19,3-MEDIUM
1478,947,O,57390.76,1997-10-05,5-LOW
1479,501,P,66203.49,1996-10-19,2-HIGH
1480,689,F,83210.87,1997-04-27,4-NOT SPECIFIED
1481,499,O,88495.71,1993-10-10,1-URGENT
1482,98,P,88464.87,1997-11-11,5-LOW
1483,215,O,14147.17,1998-05-06,4-NOT SPECIFIED
1484,835,F,11916.17,1997-06-24,2-HIGH
1485,540,O,10522.43,1997-01-23,4-NOT SPECIFIED
1486,726,O,50074.69,1994-02-18,3-MEDIUM
1487,291,O,30692.97,1996-03-11,4-NOT SPECIFIED
1488,666,P,28144.18,1996-12-02,1-URGENT
1489,871,F,75194.74,1993-08-17,3-MEDIUM
1490,593,P,63550.43,1992-12-09,5-LOW
1491,173,F,84990.67,1995-06-22,2-HIGH
1492,557,F,56421.5,1997-09-07,5-LOW
1493,242,F,37746.08,1996-11-18,4-NOT SPECIFIED
1494,904,F,18648.49,1993-04-03,3-MEDIUM
1495,780,O,47974.35,1998-03-07,2-HIGH
1496,535,P,38858.52,1996-06-15,1-URGENT
1497,32,F,46313.43,1992-02-03,5-LOW
1498,139,O,6967.88,1993-10-23,2-HIGH
1499,902,O,20164.13,1994-01-07,2-HIGH
1500,185,P,84086.77,1994-01-16,3-MEDIUM
1501,448,F,70198.31,1997-01-01,1-URGENT
1502,114,P,85954.16,1996-02-12,1-URGENT
1503,80,F,55086.37,1992-05-02,2-HIGH
1504,440,O,61800.51,1997-06-02,1-URGENT
1505,741,P,42170.45,1995-11-17,4-NOT SPECIFIED
1506,685,O,65408.12,1994-05-13,5-LOW
1507,729,P,25028.2,1995-05-10,4-NOT SPECIFIED
1508,858,P,25988.06,1994-02-16,5-LOW
1509,71,P,30475.12,1992-03-27,1-URGENT
1510,336,F,77480.44,1995-08-02,4-NOT SPECIFIED
1511,846,P,71555.92,1997-02-20,2-HIGH
1512,155,O,76928.96,1994-10-08,1-URGENT
1513,133,P,33510.59,1994-01-14,1-URGENT
1514,494,F,58910.11,1995-01-13,3-MEDIUM
1515,819,F,14093.73,1995-11-05,4-NOT SPECIFIED
1516,150,O,44782.93,1996-04-03,4-NOT SPECIFIED
1517,808,O,99112.97,1993-06-17,4-NOT SPECIFIED
1518,224,F,48831.95,1992-07-22,1-URGENT
1519,674,F,84920.94,1994-03-19,2-HIGH
1520,535,F,30474.07,1998-10-02,5-LOW
1521,412,P,8820.95,1998-06-12,1-URGENT
1522,806,P,92306.03,1993-06-06,3-MEDIUM
1523,249,F,13891.84,1997-10-26,2-HIGH
1524,321,P,27846.96,1995-03-09,2-HIGH
1525,137,F,18556.39,1998-05-18,3-MEDIUM
1526,779,O,87651.5,1992-02-13,1-URGENT
1527,147,F,17063.32,1994-05-26,3-MEDIUM
1528,84,F,90253.54,1997-12-01,3-MEDIUM
1529,189,F,60955.86,1995-07-16,4-NOT SPECIFIED
1530,361,O,41264.99,1996-07-28,1-URGENT
1531,943,F,34241.29,1994-11-27,1-URGENT
1532,163,F,10998.09,1995-12-25,5-LOW
1533,141,O,85135.34,1997-08-09,2-HIGH
1534,302,F,51494.26,1994-02-24,3-MEDIUM
1535,526,F,20479.15,1995-02-08,1-URGENT
1536,797,O,5844.23,1994-09-17,5-LOW
1537,75,P,22717.96,1995-12-14,1-URGENT
1538,263,P,9323.6,1994-12-28,3-MEDIUM
1539,668,F,90237.15,1994-07-27,3-MEDIUM
1540,82,P,94130.66,1997-08-11,5-LOW
1541,94,F,98407.22,1998-01-18,1-URGENT
1542,4,O,18975.2,1992-10-24,3-MEDIUM
1543,657,F,94491.02,1994-08-07,3-MEDIUM
1544,397,O,99883.46,1992-03-04,5-LOW
1545,216,F,48323.62,1998-04-09,2-HIGH
1546,839,P,38524.91,1995-08-04,1-URGENT
1547,123,P,25259.71,1992-02-05,1-URGENT
1548,781,F,79395.01,1992-06-05,2-HIGH
1549,677,F,47793.44,1997-08-09,4-NOT SPECIFIED
1550,234,P,32170.74,1995-09-05,2-HIGH
1551,859,P,68483.22,1992-11-03,3-MEDIUM
1552,495,O,95293.64,1993-06-28,1-URGENT
1553,612,O,70229.52,1996-03-08,5-LOW
1554,463,P,46677.73,1994-05-27,5-LOW
1555,415,O,54467.26,1994-10-06,3-MEDIUM
1556,599,F,82176.01,1992-01-01,5-LOW
1557,971,O,62811.03,1993-11-10,5-LOW
1558,965,O,63683.68,1998-04-15,1-URGENT
1559,902,F,34204.32,1998-08-27,1-URGENT
1560,783,P,86020.32,1995-11-17,5-LOW
1561,628,O,74567.76,1997-08-13,1-URGENT
1562,359,F,55482.2,1995-09-05,1-URGENT
1563,713,P,59138.71,1992-12-15,5-LOW
1564,620,P,36163.95,1993-06-17,4-NOT SPECIFIED
1565,78,P,40832.73,1992-11-16,5-LOW
1566,17,O,86226.3,1994-02-27,5-LOW
1567,942,O,15671.0,1997-06-20,2-HIGH
1568,725,F,72707.49,1993-05-13,4-NOT SPECIFIED
1569,700,P,11012.08,1994-11-08,3-MEDIUM
1570,310,F,16150.68,1998-05-07,5-LOW
1571,938,P,80040.62,1997-09-12,4-NOT SPECIFIED
1572,696,F,58986.76,1993-02-28,1-URGENT
1573,8,F,2998.67,1997-03-13,4-NOT SPECIFIED
1574,858,O,22393.03,1992-03-11,4-NOT SPECIFIED
1575,743,F,85060.59,1996-07-05,3-MEDIUM
1576,455,P,34435.97,1993-07-03,4-NOT SPECIFIED
1577,303,P,33216.81,1993-01-12,3-MEDIUM
1578,35,F,29417.13,1998-09-07,1-URGENT
1579,203,F,53742.18,1993-11-28,4-NOT SPECIFIED
1580,976,O,56629.92,1998-05-14,2-HIGH
1581,808,F,18766.27,1994-04-17,5-LOW
1582,712,O,27986.07,1996-07-03,1-URGENT
1583,532,F,46557.23,1998-08-12,1-URGENT
1584,449,O,11377.68,1993-01-01,1-URGENT
1585,730,O,2988.13,1996-01-11,4-NOT SPECIFIED
1586,590,O,18994.8,1994-01-19,5-LOW
1587,357,O,71083.14,1998-09-01,5-LOW
1588,173,F,8238.65,1994-10-01,2-HIGH
1589,782,O,81367.98,1994-12-18,1-URGENT
1590,532,F,30365.53,1997-11-03,4-NOT SPECIFIED
1591,669,O,87293.15,1998-03-10,2-HIGH
1592,368,P,60854.2,1998-11-28,2-HIGH
1593,248,P,34988.72,1995-07-11,4-NOT SPECIFIED
1594,283,P,23573.58,1996-10-26,1-URGENT
1595,293,O,30288.44,1998-08-27,1-URGENT
1596,377,O,28053.94,1994-03-05,1-URGENT
1597,228,O,99778.23,1997-10-23,4-NOT SPECIFIED
1598,625,F,46816.47,1996-07-17,5-LOW
1599,5,O,3306.98,1996-04-24,4-NOT SPECIFIED
1600,222,P,75171.25,1995-10-27,4-NOT SPECIFIED
1601,146,O,81054.3,1992-09-26,1-URGENT
1602,396,O,87184.08,1997-08-06,3-MEDIUM
1603,44,F,45286.4,1996-01-20,5-LOW
1604,235,F,91256.16,1995-04-04,5-LOW
1605,418,F,21623.12,1993-12-13,5-LOW
1606,356,O,89658.18,1995-12-09,4-NOT SPECIFIED
1607,742,F,72913.74,1994-08-05,2-HIGH
1608,816,P,10525.3,1997-08-24,1-URGENT
1609,420,F,26439.7,1992-05-15,4-NOT SPECIFIED
1610,339,P,62165.89,1995-07-01,5-LOW
1611,634,F,51341.63,1997-02-26,3-MEDIUM
1612,400,P,67992.81,1995-10-15,2-HIGH
1613,111,O,24838.19,1998-05-10,2-HIGH
1614,46,O,57088.65,1997-03-16,4-NOT SPECIFIED
1615,899,F,23381.93,1996-09-05,4-NOT SPECIFIED
1616,794,F,23467.8,1995-07-19,5-LOW
1617,56,O,48934.14,1994-05-26,5-LOW
1618,591,P,32491.2,1993-07-04,4-NOT SPECIFIED
1619,574,F,29512.88,1993-08-04,5-LOW
1620,656,F,83114.78,1992-03-17,3-MEDIUM
1621,979,P,52332.8,1995-05-03,3-MEDIUM
1622,757,O,71204.17,1997-10-12,3-MEDIUM
1623,173,O,28217.76,1994-10-22,2-HIGH
1624,802,F,13581.86,1996-10-25,4-NOT SPECIFIED
1625,536,F,43927.46,1998-03-11,4-NOT SPECIFIED
1626,494,F,68991.61,1992-04-04,5-LOW
1627,537,O,94532.88,1994-12-22,1-URGENT
1628,196,P,97959.89,1997-08-06,2-HIGH
1629,243,O,29966.89,1992-07-15,5-LOW
1630,849,P,61720.44,1996-02-06,1-URGENT
1631,651,P,62302.93,1992-02-11,3-MEDIUM
1632,222,O,29965.11,1997-10-18,1-URGENT
1633,702,P,37756.44,1993-05-04,4-NOT SPECIFIED
1634,958,O,27427.16,1998-06-05,2-HIGH
1635,718,F,59236.72,1994-06-01,3-MEDIUM
1636,549,P,48676.69,1997-09-12,5-LOW
1637,230,O,33004.21,1996-01-06,1-URGENT
1638,4,O,45121.27,1998-01-16,4-NOT SPECIFIED
1639,727,P,93714.56,1993-08-05,5-LOW
1640,969,O,94202.9,1995-03-12,1-URGENT
1641,36,P,28181.89,1992-11-16,2-HIGH
1642,702,P,16406.41,1994-10-15,1-URGENT
1643,456,F,89305.03,1992-11-13,1-URGENT
1644,876,P,80403.09,1994-10-20,1-URGENT
1645,206,P,59592.88,1998-06-19,5-LOW
1646,347,O,24235.34,1996-04-22,1-URGENT
1647,897,P,7795.56,1994-10-03,3-MEDIUM
1648,883,P,4415.33,1996-04-04,4-NOT SPECIFIED
1649,136,F,56959.97,1998-03-04,5-LOW
1650,85,P,27459.85,1995-07-17,5-LOW
1651,939,O,82146.62,1998-01-01,2-HIGH
1652,380,P,60206.16,1993-12-19,1-URGENT
1653,576,P,43606.07,1993-10-17,4-NOT SPECIFIED
1654,982,O,50998.68,1995-03-25,3-MEDIUM
1655,859,F,39091.86,1995-05-06,3-MEDIUM
1656,817,O,55021.96,1994-01-24,3-MEDIUM
1657,389,P,40027.37,1998-12-08,2-HIGH
1658,462,O,97008.47,1992-02-14,2-HIGH
1659,389,O,92380.1,1994-01-16,1-URGENT
1660,492,O,7357.74,1996-09-23,1-URGENT
1661,721,P,28540.71,1993-05-22,4-NOT SPECIFIED
1662,813,P,36392.54,1997-04-10,3-MEDIUM
1663,4,O,68663.73,1996-07-19,1-URGENT
1664,664,P,75874.36,1995-07-07,2-HIGH
1665,58,P,10274.52,1993-06-16,4-NOT SPECIFIED
1666,235,O,82841.39,1992-11-08,5-LOW
1667,784,F,47839.58,1997-09-12,3-MEDIUM
1668,595,F,55355.0,1997-05-20,1-URGENT
1669,872,F,99361.48,1995-02-14,3-MEDIUM
1670,276,F,1492.48,1994-04-17,5-LOW
1671,286,O,26273.86,1997-11-06,5-LOW
1672,884,O,43329.67,1995-04-21,2-HIGH
1673,327,O,33643.99,1998-10-22,5-LOW
1674,167,F,79677.1,1998-11-16,4-NOT SPECIFIED
1675,652,F,20420.46,1998-07-16,2-HIGH
1676,467,P,53300.69,1998-10-06,4-NOT SPECIFIED
1677,933,O,36514.3,1992-12-22,2-HIGH
1678,321,F,7363.65,1994-05-17,4-NOT SPECIFIED
1679,888,P,86798.24,1997-04-02,1-URGENT
1680,550,O,6223.67,1993-09-08,3-MEDIUM
1681,733,O,6635.36,1996-04-02,4-NOT SPECIFIED
1682,784,O,94081.36,1997-07-26,4-NOT SPECIFIED
1683,751,F,76895.73,1993-12-12,3-MEDIUM
1684,905,P,93771.68,1992-05-17,3-MEDIUM
1685,989,P,31142.71,1992-07-18,5-LOW
1686,92,F,35547.32,1995-05-05,4-NOT SPECIFIED
1687,483,F,19005.32,1992-01-28,5-LOW
1688,42,F,38228.66,1997-09-22,1-URGENT
1689,302,F,61079.56,1993-04-25,4-NOT SPECIFIED
1690,667,P,70232.41,1994-07-08,1-URGENT
1691,206,F,15128.37,1993-11-20,5-LOW
1692,537,F,65448.88,1997-12-21,4-NOT SPECIFIED
1693,519,O,29373.44,1995-03-09,2-HIGH
1694,235,F,36571.66,1992-08-15,1-URGENT
1695,305,P,6652.02,1993-08-15,1-URGENT
1696,165,O,68066.32,1996-08-23,1-URGENT
1697,95,P,43602.66,1994-12-19,2-HIGH
1698,539,O,4673.62,1998-06-04,1-URGENT
1699,286,O,51846.75,1992-09-15,2-HIGH
1700,442,F,68870.94,1994-02-12,2-HIGH
1701,60,P,58030.35,1994-09-11,3-MEDIUM
1702,574,P,16718.43,1994-12-07,2-HIGH
1703,899,F,36875.23,1995-09-17,5-LOW
1704,843,P,76103.35,1993-04-09,2-HIGH
1705,902,P,7600.82,1997-09-14,5-LOW
1706,521,F,66913.85,1997-12-26,2-HIGH
1707,807,F,23114.05,1998-11-04,5-LOW
1708,424,F,95397.56,1997-06-15,2-HIGH
1709,851,O,31457.22,1994-01-13,1-URGENT
1710,799,F,7270.98,1992-02-04,1-URGENT
1711,919,P,93413.45,1993-08-23,3-MEDIUM
1712,544,O,75683.89,1996-09-24,3-MEDIUM
1713,497,F,7096.15,1992-02-16,2-HIGH
1714,849,O,95935.74,1993-07-25,5-LOW
1715,975,F,53130.47,1994-12-11,3-MEDIUM
1716,268,P,95899.47,1994-08-22,2-HIGH
1717,529,F,82424.86,1993-02-18,2-HIGH
1718,603,P,28838.25,1998-01-18,4-NOT SPECIFIED
1719,517,O,52635.65,1996-03-28,3-MEDIUM
1720,353,F,22558.76,1998-12-05,2-HIGH
1721,533,O,97939.7,1992-01-28,2-HIGH
1722,808,F,78510.85,1993-03-09,2-HIGH
1723,582,O,93922.81,1993-02-26,4-NOT SPECIFIED
1724,88,O,49553.24,1992-08-15,4-NOT SPECIFIED
1725,18,P,83166.33,1993-05-18,1-URGENT
1726,169,F,97202.58,1998-01-15,5-LOW
1727,432,P,5076.39,1995-07-27,5-LOW
1728,852,O,40195.25,1995-11-06,2-HIGH
1729,244,O,61392.88,1996-04-18,1-URGENT
1730,641,P,29716.56,1996-08-22,4-NOT SPECIFIED
1731,279,F,76132.68,1996-04-08,1-URGENT
1732,862,P,35850.94,1997-06-26,5-LOW
1733,385,P,59649.69,1994-08-25,2-HIGH
