p_partkey,p_name,p_brand,p_size,p_retailprice
622,lavender spindle #622,Brand#41,49,130.36
623,red spindle #623,Brand#53,47,346.73
624,ivory spindle #624,Brand#41,31,191.17
625,plum bracket #625,Brand#55,33,1988.38
626,green bracket #626,Brand#21,43,1203.34
627,maroon bracket #627,Brand#51,10,1416.12
628,navy gear #628,Brand#13,44,468.65
629,khaki bracket #629,Brand#34,46,1172.64
630,plum sprocket #630,Brand#32,27,1116.17
631,blue washer #631,Brand#52,46,448.05
632,blue flange #632,Brand#31,47,1191.5
633,lavender sprocket #633,Brand#35,23,236.78
634,green bracket #634,Brand#13,1,1649.51
635,lavender bolt #635,Brand#23,7,205.01
636,lavender bracket #636,Brand#45,34,1024.01
637,green gear #637,Brand#14,50,1191.51
638,red bracket #638,Brand#24,3,84.69
639,green bolt #639,Brand#53,34,1319.2
640,maroon bracket #640,Brand#11,48,707.93
641,blue coupling #641,Brand#25,15,1980.62
642,red bracket #642,Brand#35,18,526.96
643,olive bracket #643,Brand#13,11,684.72
644,red spindle #644,Brand#44,14,1208.53
645,lavender flange #645,Brand#11,29,1022.99
646,plum flange #646,Brand#41,37,905.89
647,red gasket #647,Brand#12,22,640.35
648,blue gasket #648,Brand#11,31,189.07
649,maroon bolt #649,Brand#32,34,1767.23
650,olive gear #650,Brand#45,40,1104.05
651,green flange #651,Brand#45,26,228.25
652,maroon gasket #652,Brand#21,34,777.81
653,navy spindle #653,Brand#21,8,640.12
654,olive sprocket #654,Brand#43,12,1803.02
655,olive gear #655,Brand#21,45,1855.87
656,maroon sprocket #656,Brand#33,11,540.83
657,red gasket #657,Brand#41,25,1447.42
658,green widget #658,Brand#13,6,1688.38
659,navy gear #659,Brand#24,17,1907.93
660,maroon sprocket #660,Brand#21,5,1850.57
661,ivory washer #661,Brand#52,2,98.39
662,blue spindle #662,Brand#34,16,217.24
663,green spindle #663,Brand#33,20,66.5
664,ivory gear #664,Brand#32,27,1029.04
665,lavender spindle #665,Brand#42,44,865.16
666,lavender flange #666,Brand#15,39,200.04
667,ivory widget #667,Brand#55,28,1882.71
668,maroon bolt #668,Brand#22,30,813.76
669,plum widget #669,Brand#35,4,851.17
670,navy sprocket #670,Brand#33,24,1323.29
671,navy widget #671,Brand#55,19,1161.37
672,olive coupling #672,Brand#33,10,1309.95
673,red spindle #673,Brand#32,35,214.86
674,plum gasket #674,Brand#35,43,1014.44
675,ivory gear #675,Brand#45,46,1348.83
676,green bolt #676,Brand#53,11,937.14
677,khaki gear #677,Brand#41,15,1612.57
678,plum flange #678,Brand#14,18,1258.62
679,red gear #679,Brand#23,36,297.17
680,maroon coupling #680,Brand#43,36,1916.14
681,lavender flange #681,Brand#55,42,927.27
682,plum gasket #682,Brand#53,11,404.5
683,red widget #683,Brand#54,46,1765.94
684,maroon spindle #684,Brand#44,16,986.6
685,maroon washer #685,Brand#15,28,776.65
686,maroon coupling #686,Brand#12,32,1858.07
687,ivory gasket #687,Brand#44,45,1083.72
688,green gasket #688,Brand#44,43,1850.14
689,olive sprocket #689,Brand#24,27,1845.13
690,maroon coupling #690,Brand#12,5,1521.47
691,green gasket #691,Brand#34,14,841.1
692,lavender gasket #692,Brand#53,42,1370.2
693,lavender bracket #693,Brand#14,22,1840.26
694,olive coupling #694,Brand#45,33,758.76
695,plum spindle #695,Brand#32,2,1569.14
696,lavender bracket #696,Brand#25,20,923.36
697,plum bolt #697,Brand#23,12,456.6
698,green widget #698,Brand#35,18,730.33
699,navy coupling #699,Brand#34,44,792.21
700,plum gear #700,Brand#43,45,1146.66
701,red bolt #701,Brand#15,21,1369.93
702,blue widget #702,Brand#45,25,1725.7
703,navy widget #703,Brand#51,29,1693.73
704,khaki sprocket #704,Brand#23,35,1084.56
705,olive bolt #705,Brand#45,46,1777.47
706,maroon gasket #706,Brand#31,28,1420.22
707,maroon widget #707,Brand#54,37,581.85
708,olive sprocket #708,Brand#33,15,594.35
709,lavender gear #709,Brand#31,44,1463.88
710,green sprocket #710,Brand#55,19,115.23
711,blue gasket #711,Brand#32,2,438.63
712,lavender sprocket #712,Brand#41,39,293.87
713,navy gear #713,Brand#12,26,1035.14
714,olive flange #714,Brand#11,40,372.22
715,red bracket #715,Brand#21,9,1962.19
716,olive spindle #716,Brand#45,8,1970.39
717,khaki spindle #717,Brand#15,43,363.29
718,blue bolt #718,Brand#13,7,1978.36
719,red bolt #719,Brand#32,17,1808.32
720,olive bracket #720,Brand#25,27,1405.45
721,plum widget #721,Brand#34,40,1286.01
722,plum sprocket #722,Brand#23,15,1600.58
723,plum flange #723,Brand#25,25,546.62
724,navy bracket #724,Brand#23,13,275.17
725,maroon gasket #725,Brand#11,22,336.0
726,red washer #726,Brand#13,35,581.55
727,olive spindle #727,Brand#41,13,466.85
728,lavender bolt #728,Brand#43,29,594.4
729,green spindle #729,Brand#32,20,810.87
730,navy sprocket #730,Brand#45,16,782.41
731,olive spindle #731,Brand#43,29,976.06
732,lavender bracket #732,Brand#43,26,623.29
733,navy bolt #733,Brand#24,49,77.66
734,navy washer #734,Brand#44,18,1212.56
735,maroon widget #735,Brand#33,7,1525.06
736,plum gear #736,Brand#35,48,1501.33
737,maroon bolt #737,Brand#44,31,1404.46
738,olive gear #738,Brand#31,37,1669.1
739,ivory flange #739,Brand#41,12,772.19
740,lavender widget #740,Brand#44,46,1233.58
741,olive coupling #741,Brand#25,16,739.12
742,ivory washer #742,Brand#53,26,801.42
743,plum gasket #743,Brand#23,11,1237.48
744,navy bracket #744,Brand#34,35,1049.07
745,blue flange #745,Brand#21,20,1550.7
746,red sprocket #746,Brand#24,30,1842.3
747,maroon sprocket #747,Brand#41,23,1067.33
748,navy coupling #748,Brand#52,32,157.14
749,plum bracket #749,Brand#32,27,1143.55
750,khaki coupling #750,Brand#25,12,1473.49
751,khaki bracket #751,Brand#53,26,819.49
752,olive flange #752,Brand#54,3,1014.78
753,green flange #753,Brand#42,14,827.32
754,plum widget #754,Brand#31,38,928.03
755,navy coupling #755,Brand#43,38,1542.21
756,red gasket #756,Brand#25,38,1845.34
757,red gasket #757,Brand#42,17,317.39
758,green gear #758,Brand#34,39,1282.11
759,olive gear #759,Brand#33,9,969.78
760,ivory bolt #760,Brand#32,39,1808.26
761,khaki sprocket #761,Brand#13,26,790.14
762,lavender gasket #762,Brand#32,11,1184.86
763,maroon flange #763,Brand#45,4,1395.61
764,lavender bracket #764,Brand#32,17,1671.99
765,olive gasket #765,Brand#31,43,1991.94
766,olive flange #766,Brand#25,11,1564.35
767,plum bracket #767,Brand#33,34,1015.02
768,red flange #768,Brand#51,9,188.98
769,ivory gear #769,Brand#51,27,1062.46
770,green flange #770,Brand#23,8,537.55
771,blue bracket #771,Brand#41,23,1406.62
772,blue bolt #772,Brand#14,19,654.52
773,ivory bracket #773,Brand#25,2,1865.85
774,ivory sprocket #774,Brand#15,26,397.65
775,khaki gasket #775,Brand#51,31,143.44
776,maroon widget #776,Brand#22,9,1307.52
777,plum sprocket #777,Brand#43,39,951.53
778,maroon coupling #778,Brand#42,11,1461.62
779,khaki sprocket #779,Brand#13,12,143.04
780,plum widget #780,Brand#52,2,67.42
781,blue flange #781,Brand#24,39,1067.63
782,olive gasket #782,Brand#21,38,799.04
783,maroon flange #783,Brand#52,4,121.37
784,plum gasket #784,Brand#24,32,1117.55
785,green spindle #785,Brand#51,18,332.89
786,plum bolt #786,Brand#22,1,886.05
787,khaki flange #787,Brand#33,16,555.71
788,ivory bolt #788,Brand#11,39,1387.98
789,plum coupling #789,Brand#24,20,151.0
790,blue coupling #790,Brand#21,40,1198.12
791,khaki sprocket #791,Brand#53,28,352.35
792,ivory washer #792,Brand#41,14,142.87
793,green washer #793,Brand#54,26,1074.97
794,ivory widget #794,Brand#34,44,1130.37
795,plum gear #795,Brand#33,19,1003.85
796,plum bolt #796,Brand#33,10,1941.31
797,plum widget #797,Brand#34,11,1995.38
798,olive coupling #798,Brand#54,45,1624.62
799,khaki washer #799,Brand#24,18,333.96
800,ivory sprocket #800,Brand#23,16,1496.53
