l_orderkey,l_partkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_shipdate,l_returnflag
951,178,1,4,8936.82,0.03,1993-10-28,A
951,46,2,35,7107.78,0.07,1995-12-23,R
952,702,1,33,3975.93,0.02,1996-11-20,N
953,74,1,12,7383.88,0.01,1992-03-25,A
953,564,2,6,8403.29,0.09,1996-03-09,N
953,166,3,24,8393.64,0.09,1996-01-14,A
954,80,1,24,8841.95,0.05,1997-01-23,R
954,291,2,45,132.04,0.01,1996-03-18,A
955,302,1,32,7546.49,0.05,1993-10-19,R
956,667,1,16,4904.96,0.04,1997-04-27,R
957,425,1,2,1206.58,0.07,1993-05-19,A
957,636,2,2,3139.56,0.03,1994-04-15,A
957,234,3,3,8826.65,0.1,1994-07-15,R
958,410,1,20,6810.72,0.03,1994-04-12,N
958,708,2,9,3538.94,0.08,1996-02-24,A
958,172,3,7,4976.71,0.1,1997-10-27,A
959,241,1,23,633.08,0.05,1995-04-07,A
960,142,1,19,8991.68,0.1,1996-11-28,N
960,19,2,50,9414.39,0.0,1992-06-27,R
961,371,1,32,9791.77,0.0,1993-05-22,N
961,195,2,50,9831.85,0.05,1997-02-16,N
962,549,1,42,8335.17,0.0,1995-09-20,R
963,231,1,44,1905.34,0.03,1993-04-08,R
964,718,1,45,3031.23,0.07,1993-10-09,A
964,49,2,5,1477.31,0.1,1993-05-09,R
964,53,3,12,4926.44,0.06,1994-08-25,N
965,49,1,21,901.73,0.08,1994-11-03,A
965,499,2,40,3565.18,0.07,1992-07-01,N
965,638,3,45,7185.14,0.04,1994-09-27,R
966,205,1,2,6280.71,0.09,1997-01-14,R
966,111,2,39,8946.17,0.0,1994-04-27,R
966,633,3,30,2350.96,0.02,1995-01-13,N
966,20,4,13,9113.76,0.02,1996-11-18,A
967,132,1,27,9250.84,0.02,1995-05-19,N
967,498,2,22,790.69,0.09,1998-07-08,A
968,678,1,30,1802.62,0.02,1992-06-01,A
968,444,2,43,7499.8,0.03,1997-01-01,R
968,742,3,32,1552.15,0.03,1996-11-08,R
968,216,4,11,8584.71,0.04,1994-11-14,R
969,53,1,18,4986.07,0.0,1993-12-27,N
970,731,1,48,4126.5,0.09,1995-03-11,N
970,781,2,49,8016.2,0.05,1997-02-02,N
971,522,1,9,7053.84,0.08,1996-01-21,A
971,653,2,44,3338.05,0.08,1994-05-27,N
972,598,1,10,9109.02,0.0,1997-06-01,N
973,506,1,7,4157.13,0.0,1995-12-14,N
973,321,2,2,7980.31,0.02,1994-06-10,R
974,758,1,41,996.94,0.0,1995-01-15,R
975,475,1,45,6802.8,0.03,1994-04-28,A
975,311,2,12,6765.38,0.0,1992-12-08,A
975,668,3,48,2194.01,0.02,1997-05-21,A
976,355,1,6,7324.83,0.05,1996-03-02,A
976,577,2,6,1455.14,0.04,1994-11-13,A
977,254,1,21,3989.33,0.08,1994-08-19,A
978,506,1,27,4591.42,0.01,1992-12-08,R
979,24,1,43,2682.23,0.03,1997-11-13,N
979,358,2,36,1978.38,0.02,1992-03-09,A
979,408,3,14,530.36,0.05,1997-06-20,A
979,188,4,25,9525.0,0.05,1993-06-14,R
980,773,1,38,5644.32,0.06,1994-04-20,N
980,498,2,9,6187.23,0.0,1997-06-04,N
981,124,1,47,4050.27,0.08,1995-05-25,A
982,392,1,48,4076.18,0.01,1994-04-04,R
982,600,2,45,8997.37,0.04,1998-05-22,R
982,393,3,41,5954.89,0.05,1998-11-03,N
982,330,4,12,9180.03,0.0,1998-10-18,N
983,426,1,33,2111.2,0.02,1997-02-09,A
983,368,2,12,3679.96,0.06,1992-12-01,R
983,402,3,4,859.21,0.08,1995-01-08,A
984,735,1,36,5223.11,0.0,1997-11-28,A
984,272,2,26,163.61,0.06,1992-01-16,R
984,203,3,39,8380.4,0.0,1992-02-23,R
984,728,4,24,3945.64,0.1,1993-06-26,N
985,316,1,38,1015.63,0.03,1996-06-10,N
986,168,1,22,7409.1,0.01,1996-12-03,A
986,14,2,3,4781.8,0.05,1997-07-05,N
987,41,1,31,8074.56,0.1,1997-12-03,N
987,236,2,17,6933.14,0.09,1993-03-16,A
987,481,3,41,6748.39,0.08,1996-02-15,R
988,233,1,41,5980.39,0.03,1992-03-14,R
988,425,2,47,5823.04,0.08,1995-06-19,R
989,389,1,50,7805.06,0.04,1995-10-08,A
989,187,2,18,8545.98,0.1,1998-09-25,N
989,168,3,29,4421.42,0.01,1994-12-23,R
990,167,1,11,4188.5,0.0,1997-05-14,A
991,474,1,3,4727.06,0.07,1996-04-05,N
992,259,1,31,2888.42,0.09,1992-07-17,N
993,429,1,33,4822.95,0.1,1993-07-05,N
994,360,1,25,448.69,0.06,1994-06-10,N
994,612,2,48,8697.77,0.05,1992-08-16,R
994,152,3,40,882.73,0.06,1992-05-17,R
995,319,1,23,1003.24,0.03,1995-07-10,R
995,482,2,47,5607.61,0.03,1998-01-19,A
995,459,3,15,4167.23,0.04,1992-03-12,N
996,93,1,23,4206.9,0.07,1993-10-27,R
996,656,2,44,617.27,0.06,1994-03-24,N
997,530,1,31,1629.79,0.04,1993-12-26,R
997,345,2,6,9029.74,0.02,1996-08-16,A
997,723,3,30,9891.09,0.03,1998-01-13,A
998,290,1,23,6813.86,0.03,1998-09-14,N
998,458,2,9,2007.11,0.09,1992-02-22,R
998,131,3,19,8851.0,0.08,1993-01-07,R
999,122,1,49,2637.35,0.02,1992-02-17,N
1000,486,1,44,3501.59,0.03,1994-03-11,N
1000,586,2,30,772.36,0.08,1998-08-15,A
1000,712,3,3,2654.47,0.09,1996-11-17,A
1001,519,1,20,5916.87,0.01,1994-08-19,A
1002,259,1,34,3475.7,0.03,1996-07-11,R
1002,749,2,11,8623.98,0.04,1994-12-04,N
1002,671,3,34,4123.33,0.02,1992-02-07,N
1003,337,1,12,459.87,0.07,1994-02-05,A
1004,168,1,38,1497.71,0.0,1996-12-17,N
1004,754,2,39,1725.76,0.05,1998-05-28,N
1005,593,1,47,812.83,0.07,1992-10-14,A
1005,55,2,15,5500.78,0.07,1997-06-19,N
1005,519,3,16,1964.9,0.0,1993-02-27,A
1006,16,1,20,6851.26,0.01,1996-07-22,R
1006,729,2,39,4465.15,0.05,1992-05-03,R
1006,754,3,44,7598.14,0.0,1994-02-07,A
1006,605,4,39,6384.14,0.04,1995-03-12,A
1007,639,1,9,8309.92,0.0,1996-11-17,A
1008,725,1,34,3058.72,0.09,1993-11-13,N
1008,551,2,29,4542.79,0.01,1995-08-25,A
1008,475,3,42,5955.35,0.01,1995-07-24,N
1009,95,1,32,4506.69,0.09,1995-11-12,A
1009,495,2,31,1409.18,0.06,1997-05-20,R
1010,285,1,1,8957.05,0.02,1995-10-21,N
1010,20,2,24,5472.22,0.08,1996-12-09,A
1011,661,1,46,9186.57,0.02,1994-04-23,R
1011,215,2,11,1538.27,0.08,1996-09-24,N
1011,267,3,34,1606.67,0.03,1997-01-04,N
1012,717,1,23,2272.66,0.04,1996-08-23,A
1013,378,1,27,8715.06,0.07,1996-11-08,R
1013,508,2,13,8292.54,0.06,1996-12-20,A
1013,83,3,5,7380.27,0.0,1997-03-20,R
1014,270,1,6,5869.08,0.01,1993-01-10,R
1014,526,2,8,523.83,0.04,1996-01-05,A
1015,536,1,12,9334.09,0.02,1993-08-03,A
1016,617,1,16,6646.72,0.1,1995-04-05,A
1017,194,1,31,7805.65,0.02,1996-12-10,R
1017,439,2,25,2274.78,0.08,1992-07-13,R
1017,671,3,45,7416.62,0.08,1993-06-07,N
1017,536,4,43,3590.03,0.06,1996-05-01,A
1018,254,1,19,4492.72,0.08,1998-04-20,A
1019,392,1,40,5043.64,0.09,1996-06-14,R
1019,11,2,5,7316.25,0.08,1992-11-19,N
1019,423,3,25,5879.38,0.03,1996-08-25,N
1020,614,1,7,9573.78,0.01,1993-09-14,R
1020,535,2,43,4505.62,0.04,1998-05-01,A
1020,781,3,17,1726.14,0.08,1997-03-15,R
1020,703,4,14,3078.42,0.03,1996-03-22,A
1020,637,5,41,5182.38,0.01,1994-09-18,A
1021,27,1,32,5725.23,0.0,1995-03-06,R
1022,328,1,3,626.7,0.01,1997-01-25,A
1023,325,1,8,2645.57,0.04,1997-09-19,R
1023,720,2,42,1167.71,0.0,1994-02-14,N
1024,496,1,19,7740.97,0.03,1992-02-01,A
1024,348,2,28,4297.43,0.02,1996-10-07,R
1025,325,1,27,4594.62,0.05,1992-06-19,N
1026,728,1,42,6254.52,0.08,1996-09-03,N
1026,508,2,21,6499.53,0.09,1994-09-18,A
1027,205,1,7,6437.7,0.06,1994-07-05,R
1027,389,2,6,297.77,0.1,1994-10-14,R
1028,779,1,38,8627.48,0.03,1994-03-13,N
1028,706,2,20,7457.67,0.03,1997-11-22,A
1029,752,1,7,316.51,0.08,1996-04-24,N
1029,22,2,50,1979.57,0.02,1997-06-07,A
1029,381,3,12,206.69,0.01,1994-07-04,R
1029,333,4,8,4747.79,0.1,1997-11-19,R
1030,45,1,40,4613.6,0.03,1997-04-18,N
1030,56,2,6,6861.16,0.03,1994-10-09,A
1030,598,3,6,1484.31,0.09,1993-08-05,A
1031,776,1,50,6063.61,0.08,1993-05-09,R
1031,732,2,38,4068.34,0.09,1995-08-01,N
1032,613,1,41,5280.27,0.04,1994-03-27,R
1032,775,2,24,5960.64,0.1,1992-05-21,A
1033,379,1,8,8877.98,0.1,1996-06-06,A
1034,214,1,40,1479.31,0.07,1997-01-08,A
1034,687,2,44,8953.42,0.01,1995-11-08,N
1035,609,1,1,9954.47,0.04,1993-09-21,R
1035,436,2,43,4663.73,0.1,1997-06-10,N
1036,771,1,43,5329.09,0.07,1994-06-04,A
1036,104,2,50,3201.82,0.07,1993-01-08,R
1036,441,3,42,7627.72,0.04,1996-11-27,N
1036,780,4,28,9736.11,0.01,1993-11-04,A
1037,228,1,46,5864.65,0.05,1997-04-08,A
1037,10,2,44,1701.48,0.05,1997-09-27,A
1037,798,3,29,8554.74,0.07,1998-07-22,N
1037,641,4,14,7517.41,0.05,1994-10-24,R
1038,433,1,22,823.94,0.03,1994-10-16,N
1038,643,2,18,5158.9,0.1,1993-01-13,R
1038,30,3,30,4828.47,0.1,1996-03-26,A
1039,192,1,42,4373.77,0.04,1994-12-25,A
1039,503,2,36,8935.0,0.08,1997-05-07,A
1040,74,1,42,4062.59,0.06,1996-06-10,A
1041,656,1,13,1116.0,0.03,1994-07-23,A
1041,285,2,26,1191.82,0.03,1994-08-20,A
1042,533,1,16,8160.77,0.0,1995-12-23,N
1042,194,2,45,5163.98,0.1,1994-01-26,R
1042,448,3,18,430.88,0.04,1994-01-03,A
1043,514,1,41,2956.06,0.01,1992-05-27,A
1044,181,1,32,797.48,0.05,1998-12-18,A
1044,322,2,12,5808.95,0.03,1993-08-14,N
1045,477,1,7,125.47,0.08,1995-03-15,A
1046,734,1,23,7383.45,0.0,1997-01-27,A
1046,734,2,26,806.98,0.05,1992-12-09,R
1047,737,1,18,9093.98,0.09,1992-08-02,N
1047,157,2,41,5397.66,0.01,1994-10-12,N
1048,766,1,13,4139.77,0.0,1994-06-15,A
1048,679,2,38,4277.67,0.08,1995-12-19,A
1048,717,3,41,3522.19,0.02,1994-01-12,N
1048,791,4,5,9022.11,0.02,1998-11-19,R
1049,495,1,28,9597.87,0.07,1996-03-01,R
1050,500,1,12,5354.92,0.05,1995-10-19,A
1050,232,2,21,2378.48,0.07,1992-06-12,A
1050,370,3,24,8220.96,0.0,1992-11-02,R
1050,379,4,37,2328.27,0.01,1995-07-20,N
1051,328,1,9,5999.95,0.06,1996-05-26,R
1051,74,2,14,8273.46,0.04,1998-11-09,R
1052,80,1,14,9312.45,0.05,1998-04-10,A
1052,732,2,34,3035.49,0.09,1996-04-28,N
1053,608,1,31,6825.91,0.06,1992-05-21,N
1054,778,1,46,2363.84,0.0,1996-11-14,A
1055,777,1,1,8964.08,0.02,1992-04-06,R
1055,749,2,13,9293.87,0.0,1995-06-17,N
1055,656,3,9,3434.12,0.06,1993-11-14,N
1056,778,1,22,7481.52,0.08,1996-02-15,R
1057,744,1,5,1187.31,0.08,1992-02-06,R
1057,367,2,42,9411.76,0.1,1998-09-25,R
1058,597,1,36,2952.92,0.05,1993-04-24,A
1058,506,2,39,7354.37,0.0,1994-06-02,R
1059,55,1,40,805.59,0.04,1997-07-04,R
1059,533,2,7,2001.18,0.09,1998-09-05,R
1060,578,1,3,6574.74,0.05,1998-08-26,R
1060,292,2,39,1549.57,0.0,1998-11-02,A
1060,92,3,34,2341.97,0.01,1995-07-24,A
1061,535,1,10,1066.05,0.09,1996-06-03,N
1062,628,1,5,1736.3,0.0,1998-05-08,R
1062,555,2,42,1463.79,0.03,1994-03-28,R
1063,679,1,40,3270.87,0.06,1994-01-01,R
1063,591,2,8,7845.06,0.08,1997-04-16,A
1064,715,1,6,839.08,0.0,1994-05-06,A
1064,216,2,47,7191.07,0.02,1994-05-04,R
1064,382,3,24,8067.86,0.06,1994-12-20,A
1065,328,1,8,8266.8,0.07,1992-04-12,A
1065,736,2,39,2733.6,0.1,1997-02-19,R
1066,593,1,15,5448.23,0.08,1993-12-07,A
1066,567,2,25,835.58,0.0,1994-08-04,A
1067,538,1,45,7134.82,0.07,1992-07-10,N
1067,314,2,6,4983.85,0.04,1994-12-19,A
1067,189,3,27,5958.97,0.03,1992-05-05,N
1068,383,1,15,8495.32,0.04,1993-11-05,N
1069,520,1,38,6406.44,0.0,1994-02-26,A
1069,372,2,25,5560.4,0.1,1998-10-19,R
1070,451,1,30,6586.85,0.02,1997-06-18,A
1070,708,2,37,5157.27,0.03,1997-04-04,N
1070,108,3,13,4465.76,0.02,1994-04-25,N
1070,298,4,46,8304.37,0.0,1995-07-13,N
1071,411,1,5,5743.6,0.02,1995-03-16,N
1072,778,1,5,8260.08,0.01,1992-07-23,R
1073,91,1,6,6880.41,0.02,1994-06-09,R
1073,562,2,12,9277.3,0.06,1998-01-20,N
1073,447,3,44,6061.78,0.07,1995-10-09,R
1073,378,4,1,4608.8,0.02,1993-11-25,N
1073,669,5,44,9634.73,0.1,1993-09-04,N
1074,197,1,39,8654.68,0.04,1996-12-23,R
1075,446,1,29,2003.34,0.06,1998-09-02,R
1075,155,2,18,4831.51,0.03,1994-03-02,R
1076,191,1,46,5614.84,0.01,1992-01-14,N
1076,418,2,1,9903.01,0.05,1996-02-17,R
1076,595,3,17,683.64,0.02,1994-02-18,R
1076,580,4,48,1579.97,0.01,1997-10-27,A
1077,569,1,25,2399.66,0.03,1992-09-05,R
1077,650,2,41,8137.6,0.0,1998-03-13,A
1078,339,1,42,7061.3,0.0,1994-02-23,N
1078,792,2,46,3586.68,0.02,1997-03-09,A
1079,697,1,17,7858.51,0.05,1995-04-17,A
1079,289,2,50,6443.74,0.03,1998-06-09,A
1079,622,3,47,8777.03,0.01,1994-05-21,A
1080,140,1,38,5115.87,0.06,1997-03-09,N
1081,186,1,38,472.36,0.0,1997-01-08,N
1081,435,2,33,7925.12,0.06,1995-11-05,A
1082,404,1,6,6245.63,0.09,1995-02-18,N
1082,75,2,18,4089.51,0.05,1997-01-07,A
1082,369,3,50,3518.77,0.07,1992-08-23,R
1082,464,4,39,8845.25,0.09,1996-07-08,R
1083,333,1,40,1178.77,0.08,1997-11-18,N
1083,484,2,11,2824.9,0.08,1993-07-24,N
1084,90,1,32,1833.01,0.01,1995-02-28,N
1084,455,2,6,8376.69,0.04,1996-07-23,R
1085,612,1,8,632.33,0.0,1994-03-27,N
1086,507,1,25,4064.3,0.01,1996-03-10,A
1086,570,2,36,6549.81,0.07,1994-08-04,R
1087,28,1,42,6254.75,0.07,1997-12-22,A
1087,414,2,27,767.3,0.1,1998-10-28,N
1088,48,1,5,337.87,0.09,1992-02-21,R
1088,771,2,37,2381.45,0.09,1997-03-05,R
1088,349,3,28,6949.47,0.1,1996-10-27,A
1089,569,1,19,3723.61,0.02,1997-01-19,R
1089,734,2,14,8101.56,0.07,1995-04-06,A
1090,26,1,2,9971.94,0.07,1995-12-19,A
1090,157,2,4,2098.97,0.05,1992-01-15,R
1090,596,3,16,1121.48,0.09,1995-01-26,R
1091,782,1,34,3493.75,0.08,1995-10-25,R
1091,305,2,11,609.03,0.1,1996-10-14,N
1092,344,1,36,3491.44,0.05,1996-09-11,N
1092,295,2,4,2755.42,0.06,1997-07-13,A
1092,316,3,50,5579.97,0.0,1996-07-01,A
1093,725,1,45,789.86,0.09,1994-12-28,A
1093,604,2,23,6701.22,0.03,1997-03-07,N
1094,794,1,43,3404.76,0.07,1992-10-25,N
1094,313,2,6,3548.02,0.1,1993-01-02,R
1095,489,1,45,6357.91,0.06,1996-08-16,R
1096,144,1,3,7107.4,0.06,1995-05-02,A
1097,390,1,21,7854.27,0.01,1995-02-23,N
1097,93,2,33,3717.82,0.03,1996-12-19,A
1098,132,1,18,3566.26,0.07,1992-04-01,R
1098,287,2,28,7746.72,0.08,1992-08-16,N
1098,435,3,50,1806.93,0.02,1992-02-07,A
1099,135,1,1,929.05,0.07,1996-01-14,R
1099,441,2,48,2827.68,0.08,1998-12-02,A
1100,575,1,38,3752.34,0.09,1992-08-13,N
1100,738,2,10,2886.53,0.01,1998-11-27,A
1101,608,1,36,4957.34,0.05,1995-07-20,N
1101,210,2,30,4237.9,0.09,1997-07-28,A
1101,425,3,5,3670.48,0.07,1996-08-07,R
1102,429,1,42,2843.6,0.1,1994-09-19,R
1103,255,1,45,5219.86,0.01,1994-10-22,A
1104,72,1,44,5501.12,0.01,1997-07-14,A
1105,243,1,22,5637.2,0.01,1995-06-01,A
1106,588,1,47,3252.97,0.04,1993-11-01,R
1107,409,1,39,3711.44,0.02,1997-12-17,N
1108,125,1,39,2283.86,0.0,1992-09-06,R
1108,567,2,37,268.46,0.08,1996-06-02,R
1109,568,1,48,876.41,0.09,1994-07-06,R
1110,454,1,2,9532.85,0.03,1995-06-13,A
1110,541,2,47,9499.91,0.06,1997-11-06,N
1111,310,1,31,9791.91,0.0,1993-07-27,R
1111,247,2,2,608.06,0.03,1996-07-14,A
1112,501,1,17,6024.01,0.08,1994-07-24,A
1112,578,2,48,4829.52,0.07,1992-11-03,N
1113,662,1,16,869.41,0.08,1994-04-25,A
1114,800,1,14,4687.27,0.06,1997-06-04,N
1114,379,2,40,8167.78,0.03,1993-04-04,N
1114,305,3,25,4864.73,0.03,1996-08-04,N
1115,468,1,5,2900.21,0.01,1998-02-22,N
1116,287,1,45,7320.66,0.07,1995-08-17,R
1117,265,1,27,6744.4,0.04,1994-07-09,R
1118,80,1,45,6346.98,0.08,1997-11-09,R
1118,458,2,8,423.3,0.03,1995-10-05,R
1119,369,1,31,692.01,0.09,1992-01-06,R
1120,750,1,48,3260.93,0.09,1998-07-20,R
1120,244,2,6,8054.15,0.01,1994-06-16,A
1120,357,3,42,8309.29,0.02,1997-04-02,N
1120,792,4,39,9409.33,0.01,1992-05-01,N
1120,473,5,33,8221.93,0.1,1995-10-20,N
1120,676,6,38,1825.4,0.03,1994-09-14,N
1120,674,7,25,3640.68,0.07,1996-05-04,N
1120,459,8,24,4673.71,0.07,1993-01-07,A
1121,314,1,25,3746.91,0.07,1993-01-17,R
1122,285,1,45,528.36,0.08,1998-03-09,A
1123,391,1,2,2459.23,0.07,1995-06-08,A
1123,92,2,11,2201.94,0.04,1997-02-03,A
1124,618,1,45,6439.46,0.07,1997-09-27,R
1125,285,1,32,7057.84,0.02,1994-05-17,N
1125,60,2,45,5587.27,0.05,1996-01-26,R
1125,359,3,6,1251.14,0.05,1992-05-09,A
1126,278,1,21,7965.86,0.03,1992-06-15,A
1126,8,2,15,2426.73,0.04,1994-07-16,A
1127,537,1,1,4649.06,0.06,1996-04-27,R
1127,40,2,14,2735.58,0.05,1998-09-13,N
1128,115,1,14,3698.95,0.09,1994-08-25,R
1128,2,2,24,8646.18,0.03,1994-06-16,A
1129,639,1,26,5265.09,0.05,1993-11-17,R
1129,264,2,32,6909.23,0.02,1995-02-08,A
1129,176,3,4,3655.69,0.1,1997-11-27,R
1130,255,1,16,2926.32,0.09,1993-10-20,N
1130,508,2,3,1202.49,0.06,1992-06-24,N
1130,472,3,32,6687.58,0.07,1997-09-24,R
1130,713,4,31,3126.4,0.04,1992-04-05,N
1131,186,1,8,7250.59,0.04,1998-01-07,N
1132,96,1,4,4219.96,0.02,1993-01-14,N
1132,155,2,20,6686.06,0.04,1998-11-21,R
1133,471,1,28,6486.0,0.05,1996-08-16,N
1134,277,1,39,2549.53,0.03,1994-06-10,A
1134,52,2,33,3614.81,0.08,1993-01-03,R
1135,125,1,32,9759.09,0.01,1994-10-16,R
1135,639,2,25,1405.68,0.0,1997-12-01,R
1135,294,3,9,6963.6,0.0,1998-12-28,A
1136,70,1,13,3855.83,0.0,1993-03-23,N
1136,272,2,2,1214.96,0.05,1993-08-01,N
1136,81,3,1,5683.94,0.03,1992-11-08,N
1137,497,1,34,1298.69,0.07,1997-06-19,A
1138,461,1,5,9639.35,0.04,1996-05-08,N
1138,119,2,12,9588.23,0.09,1996-02-07,N
1139,25,1,11,9634.91,0.03,1992-04-15,A
1140,267,1,7,9769.48,0.04,1993-01-02,R
1140,97,2,33,7782.82,0.01,1995-04-07,R
1141,726,1,38,7704.27,0.09,1992-09-09,N
1141,438,2,7,7213.3,0.09,1995-08-14,A
1142,424,1,33,7425.73,0.01,1998-05-19,A
1143,687,1,7,1064.25,0.02,1994-10-24,A
1143,286,2,13,3180.67,0.01,1995-07-21,A
1143,472,3,44,3717.04,0.08,1995-04-10,A
1143,777,4,38,7649.56,0.06,1994-09-14,A
1143,341,5,10,9409.4,0.06,1996-11-27,N
1144,770,1,44,7639.2,0.1,1996-06-13,N
1145,110,1,3,4459.64,0.04,1997-04-16,N
1145,494,2,31,9737.69,0.01,1994-05-01,N
1146,654,1,44,1256.62,0.03,1992-05-21,A
1147,342,1,21,1704.0,0.03,1997-07-06,A
1147,270,2,39,443.42,0.01,1998-01-25,R
1148,648,1,15,5565.62,0.08,1992-08-03,A
1149,19,1,5,7457.6,0.05,1992-08-03,A
1149,342,2,16,4092.27,0.01,1993-03-22,A
1150,233,1,26,3580.16,0.04,1992-01-19,A
1150,769,2,31,2854.82,0.04,1997-05-08,A
1151,160,1,32,327.17,0.04,1993-12-18,R
1151,371,2,24,8155.32,0.02,1998-03-22,R
1152,206,1,5,3243.51,0.03,1993-02-15,A
1153,790,1,12,1106.38,0.02,1993-12-11,N
1154,755,1,27,6550.24,0.09,1992-11-10,A
1155,642,1,1,2869.65,0.04,1993-11-15,N
1155,538,2,9,9665.39,0.01,1993-02-05,N
1155,459,3,36,6836.83,0.08,1996-01-21,A
1155,540,4,12,4703.0,0.05,1996-03-14,R
1156,15,1,15,2649.06,0.06,1997-12-28,A
1157,262,1,18,3338.2,0.06,1996-06-11,R
1158,550,1,27,1343.06,0.02,1993-07-19,N
1158,617,2,46,2786.07,0.04,1993-12-02,A
1159,547,1,48,8000.85,0.02,1995-05-28,A
1160,618,1,49,9699.76,0.1,1996-03-08,A
1160,686,2,20,8801.35,0.01,1996-06-09,N
1160,538,3,20,5062.35,0.08,1995-03-01,N
1161,89,1,44,3892.69,0.05,1997-07-25,R
1162,457,1,40,3999.55,0.02,1998-09-13,R
1162,451,2,35,4745.86,0.1,1993-08-13,N
1163,235,1,10,4662.07,0.02,1996-07-26,R
1164,32,1,32,9596.73,0.07,1992-10-16,N
1164,575,2,14,9283.9,0.05,1995-08-28,R
1165,246,1,6,4393.18,0.04,1995-05-21,R
1166,233,1,17,7024.22,0.03,1997-05-18,R
1167,217,1,27,8595.06,0.1,1996-05-16,A
1167,161,2,14,8118.92,0.08,1994-07-03,R
1168,264,1,46,5128.3,0.03,1995-08-06,R
1168,659,2,32,8096.73,0.01,1996-07-09,N
1168,407,3,19,6925.78,0.07,1993-08-06,A
1169,260,1,35,7542.69,0.03,1993-10-17,N
1170,457,1,3,9563.3,0.04,1993-04-24,R
1170,234,2,20,6887.76,0.03,1996-04-05,R
1170,239,3,27,4427.86,0.01,1993-01-11,R
1170,446,4,31,1139.08,0.03,1997-04-12,R
1171,451,1,22,5896.91,0.06,1997-09-21,A
1172,513,1,4,4931.87,0.0,1993-01-24,R
1172,621,2,7,293.27,0.07,1993-09-01,N
1172,765,3,3,7322.84,0.01,1996-02-13,A
1172,496,4,20,7976.17,0.04,1997-10-05,R
1172,529,5,4,9758.45,0.02,1992-04-19,N
1173,778,1,15,5251.7,0.06,1994-08-01,N
1174,151,1,11,3588.74,0.08,1993-03-19,N
1174,33,2,47,987.83,0.07,1993-03-27,N
1175,468,1,22,5219.31,0.06,1992-04-11,A
1175,405,2,43,7994.04,0.02,1996-09-27,A
1175,349,3,24,5348.0,0.1,1992-04-22,N
1176,30,1,31,1023.44,0.01,1998-09-24,R
1176,66,2,27,3877.2,0.04,1995-07-21,R
1176,529,3,5,2079.65,0.07,1998-03-02,R
1177,311,1,40,8869.69,0.01,1994-06-15,R
1177,512,2,10,5299.61,0.02,1994-02-17,R
1178,391,1,43,1418.89,0.05,1995-06-28,A
1179,319,1,46,3448.34,0.09,1996-01-01,A
1180,73,1,24,2929.26,0.06,1993-10-02,N
1180,595,2,30,452.12,0.03,1993-06-02,R
1181,483,1,43,9555.54,0.08,1994-12-24,A
1181,155,2,21,8552.8,0.1,1998-04-11,N
1181,768,3,4,3371.65,0.08,1996-05-09,N
1182,211,1,50,8436.39,0.02,1992-11-18,R
1182,501,2,49,6178.08,0.1,1992-06-04,R
1182,676,3,42,6266.77,0.03,1993-05-25,N
1183,553,1,48,1087.99,0.04,1997-05-09,N
1183,222,2,47,1467.64,0.04,1995-03-01,A
1184,389,1,46,6157.19,0.07,1996-11-18,N
1184,685,2,17,8960.21,0.0,1998-09-14,R
1184,292,3,38,6658.08,0.01,1994-08-26,R
1184,641,4,18,4743.85,0.09,1992-05-11,R
1185,520,1,39,6419.33,0.01,1994-12-04,A
1185,41,2,6,4127.44,0.08,1993-02-02,N
1186,569,1,4,6381.27,0.02,1998-02-16,R
1186,557,2,21,8804.98,0.02,1993-11-28,A
1187,217,1,1,3288.45,0.07,1994-01-11,A
1187,512,2,23,432.33,0.1,1996-12-03,A
1188,637,1,11,3348.74,0.04,1995-09-14,N
1189,257,1,35,1561.1,0.04,1996-12-23,N
1189,534,2,31,3439.32,0.06,1994-03-09,R
1189,444,3,38,8803.13,0.04,1994-07-28,A
1190,247,1,40,9447.02,0.08,1993-10-07,N
1191,278,1,48,1088.66,0.0,1995-12-21,N
1191,427,2,14,3748.1,0.08,1994-02-06,A
1191,536,3,50,9366.64,0.06,1992-03-15,A
1192,793,1,21,9109.74,0.08,1994-05-11,R
1192,400,2,33,6166.69,0.02,1996-07-21,R
1192,114,3,11,982.39,0.02,1993-08-21,N
1192,319,4,39,889.36,0.1,1996-04-02,A
1193,544,1,16,8886.22,0.08,1997-09-27,A
1194,753,1,14,8189.03,0.03,1997-02-08,A
1194,80,2,11,1212.02,0.09,1994-12-08,N
1194,44,3,5,8159.12,0.08,1997-07-12,R
1194,351,4,7,3816.58,0.08,1996-08-06,A
1195,108,1,31,9336.9,0.04,1993-08-18,A
1196,1,1,3,3665.73,0.05,1996-06-08,A
1196,624,2,38,1529.65,0.01,1992-11-25,R
1197,586,1,19,1515.04,0.03,1992-02-06,N
1197,326,2,49,8031.07,0.09,1994-11-13,N
1198,201,1,12,996.62,0.07,1995-08-19,N
1199,181,1,6,8478.41,0.08,1998-12-12,N
1199,302,2,36,8657.29,0.01,1993-11-07,A
1200,455,1,32,2871.83,0.06,1996-06-13,A
1201,473,1,29,4710.21,0.08,1992-09-03,A
1202,328,1,37,2317.28,0.1,1998-08-06,A
1202,780,2,11,8383.19,0.09,1998-03-06,A
1203,484,1,19,3741.07,0.08,1996-06-01,A
1203,280,2,50,1821.17,0.07,1992-10-27,A
